stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
917655,Goodman,T,Female,Hispanic,No,2,1476,no,Notapproach
917661,Goodman,T,Male,Hispanic,No,0,1247,no,Notapproach
917798,Goodman,T,Male,Afamerican,No,0,1247,no,Notapproach
917798,Goodman,T,Male,Afamerican,No,1,1299,no,Notapproach
917798,Goodman,T,Male,Afamerican,No,2,1402,no,Notapproach
917840,Goodman,T,Male,Hispanic,Yes,0,1228,no,Notapproach
917840,Goodman,T,Male,Hispanic,Yes,1,1621,no,Meets
918003,Goodman,T,Female,Afamerican,No,0,1208,no,Notapproach
918003,Goodman,T,Female,Afamerican,No,1,1319,no,Notapproach
918059,OrangeGrove,C,Male,Hispanic,No,0,1437,no,Approaches
918059,OrangeGrove,C,Male,Hispanic,No,1,1503,no,Approaches
918059,OrangeGrove,C,Male,Hispanic,No,2,1625,no,Meets
918130,OrangeGrove,C,Male,Hispanic,No,1,1670,no,Masters
918130,OrangeGrove,C,Male,Hispanic,No,2,1647,no,Meets
918172,OrangeGrove,C,Male,Hispanic,No,0,1437,no,Approaches
918172,OrangeGrove,C,Male,Hispanic,No,1,1601,no,Meets
918172,OrangeGrove,C,Male,Hispanic,No,2,1647,no,Meets
918187,Goodman,T,Male,Hispanic,Yes,2,1490,no,Notapproach
918406,Goodman,T,Female,Hispanic,No,0,1208,no,Notapproach
918569,Goodman,T,Female,Hispanic,No,2,1611,no,Approaches
